p_adriatic_sea = "Adriatic Sea
p_aegean_sea = "Aegean Sea"
p_alboran_sea = "Alboran Sea"
p_balearic_sea = "Balearic Sea"
p_black_sea = "Black Sea"
p_bosporus = "Bosporus"
p_dardanelles = "Dardanelles"
p_eastern_mediterranean_sea = "Eastern Mediterranean Sea"
p_gulf_of_gabes = "Gulf of Gabes"
p_gulf_of_lion = "Gulf of Lion"
p_gulf_of_sidra = "Gulf of Sidra"
p_ionian_sea = "Ionian Sea"
p_ligurian_sea = "Ligurian Sea"
p_sea_of_azov = "Sea of Azov"
p_sea_of_crete = "Sea of Crete"
p_sea_of_marmara = "Sea of Marmara"
p_strait_of_gibraltar = "Strait of Gibraltar"
p_tyrrhenian_sea = "Tyrrhenian Sea"
p_western_mediterranean_sea = "Western Mediterranean Sea"
